area_sqft,bedrooms,bathrooms,age,parking,location,price
1926,4,3,20,0,Hyderabad,19715270.0
2987,5,5,6,0,Hyderabad,28675096.0
2376,6,5,7,0,Delhi,27480969.0
1107,2,2,20,0,Delhi,16423125.0
2998,7,5,7,0,Delhi,33117487.0
1190,1,1,9,1,Hyderabad,13583883.0
2982,6,5,3,0,Delhi,32929039.0
3386,7,5,14,3,Chennai,32913214.0
1827,4,3,22,1,Hyderabad,18430748.0
2006,5,4,19,0,Hyderabad,20753915.0
2696,6,5,24,2,Bengaluru,28701962.0
3337,6,5,18,2,Chennai,31217470.0
3447,7,5,15,3,Hyderabad,33239919.0
2541,4,3,23,2,Delhi,25690604.0
3390,7,5,22,3,Chennai,32645893.0
1288,2,1,1,1,Chennai,16340626.0
1129,2,1,12,3,Hyderabad,14352698.0
1738,3,2,27,2,Pune,18765370.0
2069,5,4,4,0,Bengaluru,25214470.0
649,2,2,5,2,Chennai,12824971.0
616,1,1,17,2,Delhi,11503037.0
3428,6,5,28,3,Pune,31301231.0
2234,5,4,15,3,Hyderabad,23937900.0
2404,5,4,10,0,Hyderabad,25771834.0
600,1,1,3,2,Delhi,14795316.0
3115,7,5,20,2,Chennai,30469971.0
3066,6,5,3,0,Pune,31718537.0
2581,5,4,4,0,Chennai,26592236.0
1684,4,4,5,0,Bengaluru,22280075.0
1200,1,1,9,0,Chennai,14104213.0
2723,5,4,11,1,Delhi,29018545.0
3206,6,5,25,1,Bengaluru,31116396.0
2241,4,3,16,3,Chennai,22886581.0
1744,4,3,6,2,Pune,19555741.0
2031,4,3,7,0,Bengaluru,23025574.0
2576,4,3,29,2,Hyderabad,23478833.0
3305,6,5,25,1,Pune,31321370.0
3204,6,5,25,3,Pune,30273451.0
2244,3,3,5,1,Bengaluru,25374435.0
2506,5,5,26,3,Chennai,25104124.0
1238,2,1,0,0,Delhi,18346133.0
1397,3,2,8,1,Chennai,16866684.0
2652,5,5,10,2,Delhi,29466537.0
2049,5,5,18,3,Delhi,25367625.0
1135,2,2,16,0,Pune,14651023.0
1213,2,1,15,0,Delhi,16159172.0
852,2,2,16,3,Hyderabad,12365022.0
1383,3,2,24,0,Delhi,17814976.0
2452,4,3,14,2,Delhi,27611013.0
1416,3,2,16,3,Delhi,19290286.0
1614,3,3,28,1,Pune,17716817.0
2410,5,4,21,1,Pune,24848246.0
899,2,2,9,0,Bengaluru,15300336.0
2099,4,3,28,1,Pune,20937077.0
1499,2,1,28,3,Bengaluru,18006690.0
1261,4,4,12,2,Pune,17616395.0
1401,3,2,2,2,Hyderabad,17095638.0
3480,6,5,10,2,Delhi,36051448.0
863,1,1,28,0,Hyderabad,9875624.0
1343,3,2,26,3,Chennai,15670936.0
2262,5,5,29,3,Chennai,23278633.0
3418,7,5,28,0,Chennai,31288733.0
668,1,1,2,1,Hyderabad,11118906.0
647,1,1,13,2,Delhi,13449148.0
1129,1,1,22,1,Hyderabad,12720892.0
1341,3,2,20,2,Delhi,18301593.0
